,ranking,support
1472,193,False
1473,44,False
1474,204,False
1475,78,False
1476,1,True
1477,47,False
1478,1,True
1479,144,False
1480,8,False
1481,64,False
1482,1,True
1483,39,False
1484,57,False
1485,1,True
1486,59,False
1487,1,True
1488,82,False
1489,120,False
1490,1,True
1491,184,False
1492,1,True
1493,11,False
1494,195,False
1495,58,False
1496,1,True
1497,134,False
1498,64,False
1499,65,False
1500,1,True
1501,26,False
1502,30,False
1503,47,False
1504,137,False
1505,124,False
1506,92,False
1507,61,False
1508,12,False
1509,94,False
1510,102,False
1511,143,False
1512,4,False
1513,65,False
1514,80,False
1515,96,False
1516,2,False
1517,157,False
1518,116,False
1519,148,False
1520,52,False
1521,50,False
1522,28,False
1523,5,False
1524,103,False
1525,112,False
1526,60,False
1527,16,False
1528,120,False
1529,108,False
1530,1,True
1531,139,False
1532,44,False
1533,34,False
1534,196,False
1535,124,False
1536,1,True
1537,115,False
1538,1,True
1539,79,False
1540,71,False
1541,51,False
1542,29,False
1543,158,False
1544,169,False
1545,86,False
1546,113,False
1547,1,True
1548,1,True
1549,1,True
1550,1,True
1551,100,False
1552,1,True
1553,171,False
1554,154,False
1555,121,False
1556,89,False
1557,180,False
1558,76,False
1559,203,False
1560,188,False
1561,128,False
1562,40,False
1563,90,False
1564,132,False
1565,194,False
1566,169,False
1567,173,False
1568,181,False
1569,180,False
1570,136,False
1571,203,False
1572,205,False
1573,1,True
1574,143,False
1575,127,False
1576,52,False
1577,170,False
1578,5,False
1579,1,True
1580,1,True
1581,35,False
1582,34,False
1583,119,False
1584,41,False
1585,9,False
1586,103,False
1587,1,True
1588,119,False
1589,91,False
1590,61,False
1591,183,False
1592,44,False
1593,49,False
1594,104,False
1595,57,False
1596,1,True
1597,91,False
1598,1,True
1599,74,False
1600,50,False
1601,41,False
1602,29,False
1603,109,False
1604,47,False
1605,21,False
1606,73,False
1607,1,True
1608,35,False
1609,7,False
1610,1,True
1611,135,False
1612,100,False
1613,105,False
1614,134,False
1615,197,False
1616,137,False
1617,148,False
1618,130,False
1619,169,False
1620,183,False
1621,207,False
1622,93,False
1623,224,False
1624,160,False
1625,139,False
1626,159,False
1627,171,False
1628,142,False
1629,193,False
1630,186,False
1631,108,False
1632,141,False
1633,48,False
1634,218,False
1635,3,False
1636,45,False
1637,95,False
1638,55,False
1639,105,False
1640,1,True
1641,1,True
1642,84,False
1643,123,False
1644,128,False
1645,119,False
1646,112,False
1647,145,False
1648,93,False
1649,1,True
1650,12,False
1651,213,False
1652,1,True
1653,1,True
1654,200,False
1655,48,False
1656,40,False
1657,54,False
1658,1,True
1659,170,False
1660,1,True
1661,1,True
1662,1,True
1663,34,False
1664,53,False
1665,31,False
1666,56,False
1667,1,True
1668,95,False
1669,112,False
1670,2,False
1671,70,False
1672,44,False
1673,36,False
1674,195,False
1675,70,False
1676,95,False
1677,144,False
1678,60,False
1679,150,False
1680,161,False
1681,57,False
1682,32,False
1683,211,False
1684,111,False
1685,87,False
1686,195,False
1687,179,False
1688,102,False
1689,133,False
1690,116,False
1691,183,False
1692,182,False
1693,1,True
1694,176,False
1695,114,False
1696,1,True
1697,49,False
1698,95,False
1699,1,True
1700,20,False
1701,133,False
1702,1,True
1703,63,False
1704,55,False
1705,48,False
1706,66,False
1707,2,False
1708,104,False
1709,1,True
1710,1,True
1711,62,False
1712,1,True
1713,188,False
1714,189,False
1715,184,False
1716,89,False
1717,201,False
1718,20,False
1719,76,False
1720,87,False
1721,119,False
1722,58,False
1723,134,False
1724,123,False
1725,73,False
1726,189,False
1727,173,False
1728,132,False
1729,197,False
1730,103,False
1731,189,False
1732,76,False
1733,22,False
1734,184,False
1735,1,True
1736,27,False
1737,53,False
1738,1,True
1739,181,False
1740,14,False
1741,46,False
1742,88,False
1743,17,False
1744,15,False
1745,148,False
1746,145,False
1747,8,False
1748,45,False
1749,60,False
1750,45,False
1751,179,False
1752,1,True
1753,34,False
1754,113,False
1755,12,False
1756,1,True
1757,84,False
1758,3,False
1759,197,False
1760,14,False
1761,1,True
1762,54,False
1763,1,True
1764,73,False
1765,49,False
1766,87,False
1767,53,False
1768,105,False
1769,57,False
1770,105,False
1771,145,False
1772,19,False
1773,6,False
1774,145,False
1775,82,False
1776,1,True
1777,105,False
1778,1,True
1779,110,False
1780,18,False
1781,25,False
1782,1,True
1783,16,False
1784,100,False
1785,19,False
1786,54,False
1787,13,False
1788,109,False
1789,119,False
1790,34,False
1791,112,False
1792,9,False
1793,66,False
1794,199,False
1795,127,False
1796,77,False
1797,117,False
1798,147,False
1799,137,False
1800,81,False
1801,97,False
1802,90,False
1803,82,False
1804,51,False
1805,92,False
1806,151,False
